,l2_norm,queries
0,8.583702087402344,7828.0
1,0.0,23989.0
2,4.312770843505859,14671.0
3,5.723633289337158,3430.0
4,5.2459492683410645,5375.0
5,7.688950538635254,18143.0
6,6.639275074005127,14110.0
7,8.501761436462402,14749.0
8,4.911210536956787,6228.0
9,3.5888712406158447,1458.0
10,12.302862167358398,15778.0
11,1.1313709020614624,371.0
12,0.0,23309.0
13,6.931086540222168,4483.0
14,1.9493589401245117,481.0
15,3.5099852085113525,2711.0
16,6.36867094039917,10079.0
17,7.6367506980896,9819.0
18,5.772346019744873,7429.0
19,9.465723991394043,20497.0
20,0.0,23221.0
21,6.016641616821289,7324.0
22,2.7422618865966797,7690.0
23,5.986649513244629,10661.0
24,6.699251174926758,7784.0
25,4.595648765563965,2430.0
26,0.9797959327697754,45.0
27,5.936326503753662,2881.0
28,0.0,23838.0
29,3.611093521118164,2627.0
30,0.7211102843284607,33.0
31,7.98247766494751,9297.0
32,5.848074913024902,2974.0
33,0.0,23672.0
34,9.730360984802246,15127.0
35,5.765412330627441,4741.0
36,5.953148365020752,3753.0
37,0.0,22646.0
38,12.522003173828125,17719.0
39,4.862097263336182,4756.0
40,6.0066609382629395,4562.0
41,7.838364601135254,7499.0
42,5.730618000030518,9213.0
43,2.785677671432495,540.0
44,3.2619011402130127,2411.0
45,6.299204349517822,7190.0
46,0.0,23247.0
47,1.3266500234603882,79.0
48,9.127975463867188,9280.0
49,5.582112789154053,2343.0
50,5.272569179534912,2142.0
51,6.076180934906006,4252.0
52,5.422175407409668,18790.0
53,5.779271602630615,3703.0
54,10.353739738464355,17642.0
55,6.296028137207031,5743.0
56,4.449717998504639,2864.0
57,0.0,24000.0
58,9.264984130859375,9875.0
59,3.898716926574707,1289.0
60,4.915280818939209,3087.0
61,0.0,21675.0
62,5.610702037811279,5015.0
63,6.46219539642334,6080.0
64,1.600000023841858,207.0
65,5.582112789154053,3111.0
66,6.749812602996826,6675.0
67,5.596426010131836,5808.0
68,0.0,23780.0
69,2.3065125942230225,270.0
70,7.959896564483643,10392.0
71,8.464038848876953,13484.0
72,6.7141618728637695,5689.0
73,0.0,23781.0
74,0.0,23177.0
